"","X","Site","Year","ID","Attempt","Nest_Fate","age","Date_Incubation","Date_Failure","Comments","unique_ID","tph","gc","cc","maxveg","avgveg","voveg","Died_Nesting","Nest_Random","site"
"540",546,"CC","2021","47482",2,"0",1,"5/17/2021","6/11/2021","","47482 2 0",NA,5,99,77.6,175,42.5,"N",1,"CC"
"541",547,"CC","2021","47486",1,"0",1,"4/9/2021","4/27/2021","","47486 1 0",NA,8,100,79,200,122.5,"N",1,"CC"
"542",548,"CC","2021","47486",2,"0",1,"5/24/2021","6/3/2021","","47486 2 0",NA,6,98,86.6,200,45,"N",1,"CC"
"543",549,"SRS","2021","47487",1,"0",1,"4/15/2021","4/17/2021","","47487 1 0",0,63,0,170,135,117.5,"Y",1,"SRS"
"544",550,"SRS","2021","47488",1,"0",1,"4/16/2021","5/6/2021","","47488 1 0",11,97,NA,200,175,195,"N",1,"SRS"
"545",551,"SRS","2021","47489",1,"0",1,"4/11/2021","5/5/2021","","47489 1 0",29,99,NA,200,117.5,62.5,"N",1,"SRS"
"546",552,"CC","2021","47490",1,"0",1,"4/12/2021","5/4/2021","","47490 1 0",NA,11,99,55,185,75,"N",1,"CC"
"547",553,"SRS","2021","47491",1,"0",1,"4/24/2021","5/9/2021","","47491 1 0",1,69,NA,197.5,157.5,137.5,"N",1,"SRS"
"548",554,"BFG","2021","47492",1,"0",1,"4/15/2021","4/23/2021","","47492 1 0",NA,0,97,25.2,140,122.5,"N",1,"BFG"
"549",555,"BFG","2021","47492",2,"0",1,"5/15/2021","6/8/2021","","47492 2 0",NA,9,98,94.6,180,132.5,"N",1,"BFG"
"550",556,"BFG","2021","47493",1,"0",0,"4/25/2021","5/10/2021","","47493 1 0",NA,6,94,96,200,97.5,"N",1,"BFG"
"551",557,"SRS","2021","47494",1,"0",1,"5/27/2021","6/4/2021","","47494 1 0",0,92,0,200,200,192.5,"N",1,"SRS"
"552",558,"CC","2021","47496",1,"1",1,"4/16/2021","5/14/2021","","47496 1 1",NA,3,97,18.8,187.5,105,"N",1,"CC"
"553",559,"SELA","2022","47657",1,"0",1,"4/9/2022","4/23/2022","","47657 1 0",NA,NA,NA,NA,NA,NA,"N",1,"SELA"
"554",560,"BFG","2022","47664",1,"0",1,"4/17/2022","5/8/2022","","47664 1 0",9,100,78.6,200,65,85,"N",1,"BFG"
"555",561,"BFG","2022","47664",2,"0",1,"6/18/2022","7/14/2022","","47664 2 0",0,96,19.6,197.5,80,97.5,"N",1,"BFG"
"556",562,"SELA","2022","47667",1,"0",1,"4/27/2022",NA,"tag failure","47667 1 0",NA,NA,NA,NA,NA,NA,"N",1,"SELA"
"557",563,"CC","2022","47673",1,"0",1,"4/4/2022","4/11/2022","","47673 1 0",11,45,84.8,160,20,15,"N",1,"CC"
"558",564,"CC","2022","47673",2,"0",1,"5/5/2022","5/13/2022","","47673 2 0",0,91,75,200,107.5,65,"N",1,"CC"
"559",565,"CC","2022","47673",3,"0",1,"6/5/2022","7/2/2022","","47673 3 0",13,100,83.2,200,72.5,65,"N",1,"CC"
"560",566,"WLA","2022","47675",1,"0",1,"4/19/2022","4/26/2022","","47675 1 0",13,94,80.704,95,72.5,50,"N",1,"WLA"
"561",567,"BFG","2022","47677",1,"0",1,"5/31/2022","6/12/2022","","47677 1 0",0,96,22.2,200,97.5,105,"N",1,"BFG"
"562",568,"WLA","2022","47679",1,"0",1,"4/24/2022","5/5/2022","Reintroduced","47679 1 0",0,92,4.992,172.5,167.5,162.5,"N",1,"WLA"
"563",569,"WLA","2022","47679",2,"0",1,"7/6/2022","7/13/2022","Reintroduced","47679 2 0",8,77,94.224,135,122.5,110,"N",1,"WLA"
"564",570,"WLA","2022","47688",1,"0",1,"5/13/2022","5/18/2022","","47688 1 0",12,83,94.432,18.75,15.625,12.5,"N",1,"WLA"
"565",571,"BFG","2022","47689",1,"1",1,"4/9/2022","5/7/2022","","47689 1 1",17,97,83.8,170,75,42.5,"N",1,"BFG"
"566",572,"BFG","2022","47691",1,"0",1,"4/25/2022","4/29/2022","","47691 1 0",1,99,16.6,0,0,0,"N",1,"BFG"
"567",573,"SELA","2022","47698",1,"1",1,"4/7/2022","5/3/2022","tag failure","47698 1 1",0,98,66.144,15.5,12.5,9.5,"N",1,"SELA"
"568",574,"WLA","2022","47700",1,"1",1,"4/13/2022","5/7/2022","","47700 1 1",4,96,97.552,45,45,45,"N",1,"WLA"
"569",575,"SELA","2022","47701",1,"0",1,"4/17/2022",NA,"tag failure","47701 1 0",2,100,15.6,15.25,11.25,7.25,"N",1,"SELA"
"570",576,"SELA","2022","47701",2,"0",1,"5/29/2022","6/13/2022","","47701 2 0",0,100,99.84,5.5,4.875,4.25,"N",1,"SELA"
"571",577,"WLA","2022","47702",1,"0",1,"4/20/2022","5/4/2022","","47702 1 0",6,100,61.152,187.5,136.25,85,"N",1,"WLA"
"572",578,"WLA","2022","47703",1,"0",1,"4/11/2022","4/14/2022","","47703 1 0",17,100,94.224,117.5,81.25,45,"N",1,"WLA"
"573",579,"WLA","2022","47703",2,"0",1,"5/10/2022","5/15/2022","","47703 2 0",10,100,85.904,147.5,122.5,97.5,"N",1,"WLA"
"574",580,"WLA","2022","47709",1,"1",1,"5/21/2022","6/18/2022","","47709 1 1",6,96,89.648,180,146.25,112.5,"N",1,"WLA"
"575",581,"SELA","2022","47710",1,"1",1,"4/9/2022","5/5/2022","","47710 1 1",9,98,1.04,12.75,10.75,8.75,"N",1,"SELA"
"576",582,"SELA","2022","47711",1,"0",1,"5/1/2022","5/25/2022","","47711 1 0",10,80,24.544,15,11.875,8.75,"Y",1,"SELA"
"577",583,"SELA","2022","47712",1,"0",1,"4/9/2022","4/13/2022","","47712 1 0",5,100,61.568,20,16.625,13.25,"N",1,"SELA"
"578",584,"SELA","2022","47712",2,"1",1,"5/4/2022","5/30/2022","","47712 2 1",16,100,18.304,16,13.5,11,"N",1,"SELA"
"579",585,"WLA","2022","47714",1,"1",1,"4/7/2022","5/4/2022","","47714 1 1",14,100,91.52,195,190,185,"N",1,"WLA"
"580",586,"WLA","2022","47715",1,"1",1,"4/10/2022","5/6/2022","","47715 1 1",15,100,93.184,195,172.5,150,"N",1,"WLA"
"581",587,"WLA","2022","47718",1,"0",1,"4/2/2022","4/23/2022","","47718 1 0",4,88,94.224,167.5,117.5,67.5,"Y",1,"WLA"
"582",588,"WLA","2022","47719",1,"0",1,"5/18/2022","5/21/2022","","47719 1 0",6,100,63.648,200,200,200,"N",1,"WLA"
"583",589,"SELA","2022","47720",1,"1",1,"4/10/2022","5/6/2022","","47720 1 1",3,100,72.384,8,7.625,7.25,"N",1,"SELA"
"584",590,"SELA","2022","47721",1,"0",1,"3/31/2022","4/25/2022","","47721 1 0",1,100,22.672,16.5,15,13.5,"Y",1,"SELA"
"585",591,"WLA","2022","47724",1,"0",1,"5/7/2022","5/22/2022","","47724 1 0",2,98,35.568,200,200,200,"N",1,"WLA"
"586",592,"WLA","2022","47726",1,"0",1,"5/4/2022","5/7/2022","","47726 1 0",31,94,16.432,200,200,200,"N",1,"WLA"
"587",593,"WLA","2022","47726",2,"0",1,"5/26/2022","5/27/2022","","47726 2 0",0,100,2.496,152.5,136.25,120,"N",1,"WLA"
"588",594,"SELA","2022","47727",1,"0",1,"4/29/2022","5/6/2022","","47727 1 0",0,64,50.128,15.25,12.75,10.25,"Y",1,"SELA"
"589",595,"SELA","2022","47728",1,"0",1,"4/10/2022","5/3/2022","","47728 1 0",0,100,88.192,17.5,14.25,11,"Y",1,"SELA"
"590",596,"WLA","2022","47731",1,"0",1,"4/6/2022","4/18/2022","","47731 1 0",6,100,97.552,200,175,150,"N",1,"WLA"
"591",597,"WLA","2022","47732",1,"1",1,"4/8/2022","5/4/2022","","47732 1 1",10,100,98.8,200,170,140,"N",1,"WLA"
"592",598,"WLA","2022","47734",1,"0",1,"4/22/2022","5/1/2022","","47734 1 0",7,96,97.136,155,116.25,77.5,"N",1,"WLA"
"593",599,"WLA","2022","47735",1,"0",1,"4/6/2022","4/8/2022","","47735 1 0",7,100,87.984,157.5,157.5,157.5,"N",1,"WLA"
"594",600,"WLA","2022","47735",2,"0",1,"5/15/2022","5/18/2022","","47735 2 0",9,100,83.616,172.5,156.25,140,"N",1,"WLA"
"595",601,"SELA","2022","47736",1,"1",1,"4/6/2022","5/3/2022","","47736 1 1",9,100,56.992,16.5,14.875,13.25,"N",1,"SELA"
"596",602,"SELA","2022","47736",2,"1",1,"6/1/2022","6/27/2022","","47736 2 1",0,100,99.84,11.5,10.375,9.25,"N",1,"SELA"
"597",603,"WLA","2022","47737",1,"1",1,"4/21/2022","5/19/2022","","47737 1 1",1,100,58.032,200,156.25,112.5,"N",1,"WLA"
"598",604,"WLA","2022","47738",1,"0",1,"4/2/2022","4/17/2022","","47738 1 0",13,100,96.304,180,132.5,85,"N",1,"WLA"
"599",605,"WLA","2022","47738",2,"0",1,"5/20/2022","5/23/2022","","47738 2 0",11,100,98.8,190,127.5,65,"N",1,"WLA"
"600",606,"WLA","2022","47738",3,"0",1,"6/6/2022","6/22/2022","","47738 3 0",1,82,45.552,200,183.75,167.5,"N",1,"WLA"
"601",607,"WLA","2022","47740",1,"1",1,"4/20/2022","5/17/2022","","47740 1 1",3,100,27.456,142.5,128.75,115,"N",1,"WLA"
"602",608,"SELA","2022","47742",1,"0",1,"5/1/2022","5/11/2022","","47742 1 0",6,100,55.328,14.25,11.875,9.5,"N",1,"SELA"
"603",609,"WLA","2022","47743",1,"0",1,"4/6/2022","4/10/2022","","47743 1 0",8,100,94.432,200,145,90,"Y",1,"WLA"
"604",610,"WLA","2022","47743",2,"0",1,"4/27/2022","5/1/2022","","47743 2 0",7,98,69.888,190,181.25,172.5,"Y",1,"WLA"
"605",611,"SELA","2022","47744",1,"1",1,"4/12/2022","5/8/2022","","47744 1 1",4,100,21.632,15.5,13,10.5,"N",1,"SELA"
"606",612,"WLA","2022","47745",1,"0",1,"4/9/2022","4/15/2022","","47745 1 0",15,100,99.008,200,163.75,127.5,"N",1,"WLA"
"607",613,"SELA","2022","47746",1,"0",1,"4/18/2022","4/28/2022","","47746 1 0",10,100,4.992,9.5,9,8.5,"N",1,"SELA"
"608",614,"WLA","2022","47747",1,"1",1,"4/14/2022","5/10/2022","","47747 1 1",14,80,98.176,185,130,75,"N",1,"WLA"
"609",615,"WLA","2022","47748",1,"0",1,"4/10/2022","4/15/2022","","47748 1 0",4,86,16.432,175,165,155,"N",1,"WLA"
"610",616,"SELA","2022","47749",1,"1",1,"4/15/2022","5/12/2022","","47749 1 1",12,100,0,13.25,10.25,7.25,"N",1,"SELA"
"611",617,"WLA","2022","47751",1,"0",1,"4/15/2022","4/18/2022","","47751 1 0",12,80,93.392,175,170,165,"N",1,"WLA"
"612",618,"WLA","2022","47751",2,"0",1,"5/8/2022","5/23/2022","","47751 2 0",2,100,23.92,120,120,120,"N",1,"WLA"
"613",619,"WLA","2022","47751",3,"0",1,"6/15/2022","7/4/2022","","47751 3 0",2,88,70.72,192.5,118.75,45,"N",1,"WLA"
"614",620,"WLA","2022","47753",3,"1",1,"5/27/2022","6/24/2022","","47753 3 1",7,100,88.192,200,200,200,"N",1,"WLA"
"615",621,"WLA","2022","47753",1,"0",1,"4/17/2022","4/19/2022","","47753 1 0",NA,NA,NA,NA,NA,NA,"N",1,"WLA"
"616",622,"WLA","2022","47753",2,"0",1,"5/3/2022","5/5/2022","","47753 2 0",24,100,97.344,182.5,167.5,152.5,"N",1,"WLA"
"617",623,"WLA","2022","47756",1,"0",1,"4/27/2022","5/12/2022","","47756 1 0",3,100,71.552,200,192.5,185,"N",1,"WLA"
"618",624,"WLA","2022","47758",1,"0",1,"4/11/2022","4/13/2022","","47758 1 0",12,100,71.76,190,175,160,"N",1,"WLA"
"619",625,"WLA","2022","47758",2,"0",1,"5/17/2022","5/21/2022","","47758 2 0",0,100,64.896,157.5,151.25,145,"N",1,"WLA"
"620",626,"WLA","2022","47758",3,"0",1,"6/17/2022","6/29/2022","","47758 3 0",0,95,37.024,200,181.25,162.5,"N",1,"WLA"
"621",627,"WLA","2022","47759",1,"0",1,"4/11/2022","4/17/2022","","47759 1 0",13,88,93.392,197.5,182.5,167.5,"N",1,"WLA"
"622",628,"SELA","2022","47760",1,"0",1,"4/5/2022","4/24/2022","","47760 1 0",NA,NA,NA,NA,NA,NA,"Y",1,"SELA"
"623",629,"WLA","2022","47761",1,"0",1,"4/26/2022","5/5/2022","","47761 1 0",14,100,82.784,177.5,148.75,120,"N",1,"WLA"
"624",630,"WLA","2022","47761",2,"0",1,"5/26/2022","5/30/2022","","47761 2 0",4,80,71.968,200,152.5,105,"N",1,"WLA"
"625",631,"SELA","2022","47763",1,"0",1,"4/12/2022","4/30/2022","","47763 1 0",0,82,65.728,18.25,15.625,13,"N",1,"SELA"
"626",632,"WLA","2022","47764",1,"0",1,"4/25/2022","5/3/2022","","47764 1 0",2,100,44.928,185,162.5,140,"N",1,"WLA"
"627",633,"WLA","2022","47764",2,"0",1,"5/22/2022","6/6/2022","","47764 2 0",2,100,41.6,120,98.75,77.5,"N",1,"WLA"
"628",634,"WLA","2022","47765",1,"0",1,"5/15/2022","5/19/2022","","47765 1 0",9,60,73.632,115,115,115,"N",1,"WLA"
"629",635,"SELA","2022","47767",1,"0",1,"4/11/2022","4/16/2022","","47767 1 0",6,100,0,10,7.75,5.5,"N",1,"SELA"
"630",636,"SELA","2022","47767",2,"1",1,"5/18/2022","6/14/2022","","47767 2 1",5,100,39.936,11.5,9.75,8,"N",1,"SELA"
"631",637,"WLA","2022","47769",2,"1",1,"5/11/2022","6/7/2022","","47769 2 1",1,100,22.464,150,126.25,102.5,"N",1,"WLA"
"632",638,"WLA","2022","47769",1,"0",1,"4/15/2022","4/16/2022","","47769 1 0",1,100,22.464,150,126.25,102.5,"N",1,"WLA"
"633",639,"WLA","2022","47771",1,"0",1,"4/20/2022","5/3/2022","","47771 1 0",8,96,86.944,60,60,60,"Y",1,"WLA"
"634",640,"SELA","2022","47772",1,"0",1,"4/18/2022","5/2/2022","","47772 1 0",6,100,27.456,20,18.875,17.75,"N",1,"SELA"
"635",641,"SELA","2022","47772",2,"0",1,"5/26/2022","6/19/2022","","47772 2 0",0,100,99.84,9.75,8.625,7.5,"N",1,"SELA"
"636",642,"WLA","2022","47773",1,"0",1,"4/14/2022","4/19/2022","","47773 1 0",10,98,80.704,187.5,182.5,177.5,"N",1,"WLA"
"637",643,"WLA","2022","47773",2,"0",1,"5/10/2022","5/16/2022","","47773 2 0",2,100,12.896,197.5,163.75,130,"N",1,"WLA"
"638",644,"SELA","2022","47776",1,"0",1,"4/13/2022","5/6/2022","","47776 1 0",13,100,2.704,11.5,8.625,5.75,"Y",1,"SELA"
"639",645,"WLA","2022","47778",1,"0",1,"5/14/2022","5/26/2022","","47778 1 0",10,100,72.176,187.5,152.5,117.5,"N",1,"WLA"
"640",646,"SELA","2022","47779",1,"0",1,"4/17/2022","5/10/2022","","47779 1 0",0,100,0,19,18.625,18.25,"N",1,"SELA"
"641",647,"WLA","2022","47787",1,"1",1,"5/21/2022","6/18/2022","","47787 1 1",7,98,75.296,200,193.75,187.5,"N",1,"WLA"
"642",648,"SELA","2022","47788",1,"0",1,"4/21/2022","5/2/2022","","47788 1 0",4,100,0.832,19.5,15.125,10.75,"N",1,"SELA"
"643",649,"SELA","2022","47789",1,"1",1,"4/8/2022","5/4/2022","","47789 1 1",5,100,0,19.5,17.25,15,"N",1,"SELA"
"644",650,"SELA","2022","47791",1,"1",0,"4/23/2022","5/20/2022","","47791 1 1",0,100,99.84,13.5,11.5,9.5,"N",1,"SELA"
"645",651,"SELA","2022","47792",1,"0",1,"4/9/2022","5/6/2022","","47792 1 0",NA,NA,NA,NA,NA,NA,"N",1,"SELA"
"646",652,"SELA","2022","47794",1,"0",0,"4/11/2022","4/25/2022","","47794 1 0",NA,NA,NA,NA,NA,NA,"N",1,"SELA"
"647",665,"SL","2015","60161",1,"1",1,"4/13/2015","5/10/2015","","60161 1 1",42,65,85.8,177.5,83.75,61.25,"N",1,"SL"
"648",666,"SL","2015","60163",2,"1",1,"5/27/2015","6/21/2015","","60163 2 1",14,69,74.4,150,45,41.25,"N",1,"SL"
"649",667,"SL","2015","60163",1,"0",1,"5/8/2015","5/11/2015","","60163 1 0",29,52,91.8,197.5,60,82.5,"N",1,"SL"
"650",668,"SL","2015","60164",2,"1",1,"6/3/2015","6/28/2015","","60164 2 1",27,62,70,172.5,75,80,"N",1,"SL"
"651",669,"SL","2015","60164",1,"0",1,"4/24/2015","5/3/2015","","60164 1 0",13,70,74.4,98.75,47.5,31.25,"N",1,"SL"
"652",670,"SL","2015","60165",2,"1",1,"5/29/2015","6/23/2015","","60165 2 1",13,64,79.4,131.25,41.25,33.75,"N",1,"SL"
"653",671,"SL","2015","60165",1,"0",1,"5/2/2015","5/7/2015","","60165 1 0",0,68,84.8,200,128.75,147.5,"N",1,"SL"
"654",672,"SL","2015","60168",2,"1",1,"5/7/2015","6/1/2015","","60168 2 1",0,68,4,152.5,62.5,68.75,"N",1,"SL"
"655",673,"SL","2015","60168",1,"0",1,"4/19/2015","4/21/2015","","60168 1 0",1,63,26.6,161.25,90,82.5,"N",1,"SL"
"656",674,"SL","2015","60170",1,"1",1,"4/8/2015","5/3/2015","","60170 1 1",13,60,81.2,98.75,68.75,52.5,"N",1,"SL"
"657",675,"SL","2015","60172",1,"0",1,"4/15/2015","4/16/2015","","60172 1 0",0,77,21.4,143.75,87.5,78.75,"Y",1,"SL"
"658",676,"SL","2015","60172",2,"0",1,"5/13/2015","5/21/2015","","60172 2 0",0,70,13.6,132.5,52.5,60,"Y",1,"SL"
"659",677,"SL","2015","60172",3,"0",1,"6/16/2015","6/21/2015","","60172 3 0",4,73,59.4,135,40,41.25,"Y",1,"SL"
"660",678,"SL","2015","60180",1,"1",1,"4/22/2015","5/18/2015","","60180 1 1",9,75,72,200,117.5,151.25,"N",1,"SL"
"661",679,"SL","2015","60181",1,"0",1,"4/20/2015","4/25/2015","","60181 1 0",6,74,85.8,200,151.25,147.5,"N",1,"SL"
"662",680,"SL","2015","60182",1,"1",1,"4/13/2015","5/9/2015","","60182 1 1",26,84,77.2,165,92.5,57.5,"N",1,"SL"
"663",681,"WEBB","2015","60186",1,"0",1,"4/26/2015","5/6/2015","","60186 1 0",32,94.4,70,157.5,85,120,"Y",1,"WEBB"
"664",682,"WEBB","2015","60186",2,"0",1,"6/2/2015","6/15/2015","","60186 2 0",20,71,73.8,180,82.5,125,"Y",1,"WEBB"
"665",683,"WEBB","2015","60187",1,"1",1,"4/10/2015","5/6/2015","","60187 1 1",21,63.6,40.6,81.25,45,40,"N",1,"WEBB"
"666",684,"WEBB","2015","60191",1,"1",0,"4/18/2015","5/16/2015","","60191 1 1",8,94.6,70.4,200,100,130,"N",1,"WEBB"
"667",685,"WEBB","2015","60195",1,"0",1,"4/28/2015","5/7/2015","","60195 1 0",NA,NA,NA,NA,NA,NA,"N",1,"WEBB"
"668",686,"WEBB","2015","60196",1,"1",1,"4/26/2015","5/23/2015","","60196 1 1",27,79,82.2,187.5,85,105,"N",1,"WEBB"
"669",687,"WEBB","2015","60199",1,"0",1,"4/23/2015","5/4/2015","","60199 1 0",NA,19.4,82.2,107.5,80,72.5,"N",1,"WEBB"
"670",688,"WEBB","2015","60205",1,"1",1,"4/18/2015","5/14/2015","","60205 1 1",39,75,83.8,175,70,102.5,"N",1,"WEBB"
"672",690,"WEBB","2015","60216",1,"1",1,"4/26/2015","5/23/2015","","60216 1 1",20,86.6,67.2,140,60,65,"N",1,"WEBB"
"673",691,"WEBB","2015","60217",1,"1",1,"4/13/2015","5/9/2015","","60217 1 1",50,64.4,98,187.5,106.25,92.5,"N",1,"WEBB"
"674",692,"WEBB","2015","60220",1,"0",1,"5/20/2015","5/30/2015","","60220 1 0",28,53,97,165,92.5,100,"Y",1,"WEBB"
"675",693,"WEBB","2015","60221",1,"1",1,"4/14/2015","5/10/2015","","60221 1 1",23,92.4,61.6,187.5,77.5,115,"N",1,"WEBB"
"676",694,"WEBB","2015","60223",1,"0",1,"5/8/2015","5/10/2015","","60223 1 0",31,87,52.2,117.5,63.75,85,"N",1,"WEBB"
"677",695,"WEBB","2015","60223",2,"0",1,"6/26/2015","7/7/2015","","60223 2 0",0,92,14,195,80,87.5,"N",1,"WEBB"
"678",696,"WEBB","2015","60226",1,"0",0,"4/23/2015","4/27/2015","","60226 1 0",8,75.4,63.6,180,122.5,157.5,"N",1,"WEBB"
"679",697,"WEBB","2015","60228",1,"0",1,"5/16/2015","5/21/2015","","60228 1 0",19,88,88.2,200,137.5,125,"Y",1,"WEBB"
"680",698,"SL","2015","60267",1,"1",1,"4/18/2015","5/13/2015","","60267 1 1",18,42,92.8,167.5,67.5,41.25,"N",1,"SL"
"681",699,"WLA","2015","60273",2,"1",1,"5/9/2015","6/5/2015","","60273 2 1",NA,56.6,42.64,128.75,81.25,90,"N",1,"WLA"
"682",700,"WLA","2015","60273",1,"0",1,"4/11/2015","4/18/2015","","60273 1 0",NA,44,88.4,200,200,118.75,"N",1,"WLA"
"683",701,"WLA","2015","60275",1,"0",1,"4/24/2015","4/30/2015","","60275 1 0",NA,46.8,96.304,200,166.25,200,"N",1,"WLA"
"687",705,"SL","2015","60284",1,"1",1,"4/14/2015","5/9/2015","","60284 1 1",0,77,40.8,181.25,112.5,117.5,"N",1,"SL"
"688",706,"SL","2015","60286",1,"1",1,"4/22/2015","5/18/2015","","60286 1 1",46,33,75,180,52.5,55,"N",1,"SL"
"689",707,"SL","2015","60288",2,"1",1,"5/31/2015","6/25/2015","","60288 2 1",12,66,78.6,140,50,35,"N",1,"SL"
"690",708,"SL","2015","60288",1,"0",1,"4/6/2015","4/28/2015","","60288 1 0",0,54,49.4,200,98.75,83.75,"N",1,"SL"
"691",709,"WLA","2015","60327",1,"1",1,"4/5/2015","5/1/2015","","60327 1 1",NA,80.2,79.456,155,105,117.5,"N",1,"WLA"
"692",710,"WLA","2015","60327",2,"1",1,"6/24/2015","7/19/2015","","60327 2 1",NA,49,65.728,200,78.75,35,"N",1,"WLA"
"694",712,"WLA","2015","60331",1,"0",0,"5/5/2015","5/18/2015","","60331 1 0",NA,83.4,30.992,85,72.5,72.5,"N",1,"WLA"
"695",713,"WLA","2015","60332",1,"0",1,"4/17/2015","4/23/2015","","60332 1 0",NA,31.8,77.792,200,110,130,"N",1,"WLA"
"696",714,"WLA","2015","60332",2,"0",1,"5/15/2015","6/9/2015","","60332 2 0",NA,84,75.504,188.75,110,128.75,"N",1,"WLA"
"697",715,"WLA","2015","60332",3,"0",1,"7/12/2015","7/20/2015","","60332 3 0",NA,74,92.352,178.75,86.25,62.5,"N",1,"WLA"
"698",716,"WLA","2015","60333",1,"0",1,"5/14/2015","5/17/2015","","60333 1 0",NA,86.4,70.304,190,98,73.75,"N",1,"WLA"
"699",717,"WLA","2015","60335",1,"0",0,"4/18/2015","4/20/2015","","60335 1 0",NA,59.4,73.84,195,132.5,137.5,"N",1,"WLA"
"700",718,"WLA","2015","60335",2,"0",0,"5/5/2015","5/28/2015","","60335 2 0",NA,67.6,83.2,200,95,127.5,"N",1,"WLA"
"701",719,"WLA","2015","60338",1,"1",1,"4/15/2015","5/12/2015","","60338 1 1",NA,74.4,80.496,143.75,112.5,82.5,"N",1,"WLA"
"702",720,"SL","2015","60339",1,"0",1,"4/15/2015","4/19/2015","","60339 1 0",NA,NA,NA,NA,NA,NA,"N",1,"SL"
"703",721,"SL","2015","60339",2,"0",1,"5/16/2015","5/20/2015","","60339 2 0",0,85,21.6,155,58.75,66.25,"N",1,"SL"
"704",722,"WLA","2015","60340",1,"0",1,"4/15/2015","5/2/2015","","60340 1 0",NA,58.2,93.184,171.25,95,71.25,"N",1,"WLA"
"705",723,"WLA","2015","60342",1,"0",1,"4/18/2015","4/27/2015","","60342 1 0",NA,78.4,56.992,152.5,112.5,128.75,"N",1,"WLA"
"706",724,"WLA","2015","60342",2,"0",1,"5/27/2015","6/5/2015","","60342 2 0",NA,74.2,37.856,165,70,101.25,"N",1,"WLA"
"707",725,"WLA","2015","60342",3,"0",1,"7/7/2015","7/10/2015","","60342 3 0",NA,62.6,90.896,188.75,112.5,97.5,"N",1,"WLA"
"708",726,"WLA","2015","60343",2,"1",0,"5/19/2015","6/14/2015","","60343 2 1",NA,58.2,91.104,200,126.25,122.5,"N",1,"WLA"
"709",727,"WLA","2015","60343",1,"0",0,"4/14/2015","4/26/2015","","60343 1 0",NA,74.4,74.256,197.5,92.5,90,"N",1,"WLA"
"710",728,"WLA","2015","60345",1,"1",1,"4/10/2015","5/7/2015","","60345 1 1",NA,39.6,70.512,183.75,122.5,147.5,"N",1,"WLA"
"711",729,"WLA","2015","60346",2,"1",1,"4/29/2015","5/26/2015","","60346 2 1",NA,74.4,75.296,186.25,113.75,110,"N",1,"WLA"
"712",730,"WLA","2015","60346",1,"0",1,"4/8/2015","4/12/2015","","60346 1 0",NA,64.8,39.728,200,153.75,185,"N",1,"WLA"
"713",731,"WLA","2015","60357",1,"0",0,"4/23/2015","5/15/2015","","60357 1 0",NA,69,72.8,197.5,146.25,121.25,"N",1,"WLA"
"714",732,"SL","2015","60389",1,"0",1,"4/16/2015","4/18/2015","","60389 1 0",6,49,28.4,200,82.5,100,"Y",1,"SL"
"715",733,"SL","2015","60389",2,"0",1,"5/28/2015","6/8/2015","","60389 2 0",0,75,36.8,130,67.5,71.25,"Y",1,"SL"
"716",734,"SL","2015","60392",2,"1",1,"5/21/2015","6/15/2015","","60392 2 1",14,68,59.8,128.75,47.5,61.25,"N",1,"SL"
"717",735,"SL","2015","60392",1,"0",1,"4/21/2015","4/29/2015","","60392 1 0",NA,NA,NA,NA,NA,NA,"N",1,"SL"
"718",736,"SL","2015","60393",1,"0",1,"4/20/2015","4/24/2015","","60393 1 0",15,69,88,148.75,68.75,55,"Y",1,"SL"
"719",737,"SL","2015","60395",1,"0",1,"4/15/2015","4/25/2015","","60395 1 0",10,92,85.6,131.25,73.75,62.5,"N",1,"SL"
"720",738,"SL","2015","60396",1,"0",1,"4/13/2015","4/17/2015","","60396 1 0",24,78,48.4,108.75,71.25,43.75,"N",1,"SL"
"721",739,"SL","2015","60396",2,"0",1,"5/12/2015","5/18/2015","","60396 2 0",24,64.6,82,178.75,66.25,58.75,"N",1,"SL"
"722",740,"SL","2015","60396",3,"0",1,"6/10/2015","6/20/2015","","60396 3 0",1,67,47.6,187.5,100,117.5,"N",1,"SL"
"723",741,"SL","2015","60397",1,"0",1,"4/13/2015","4/22/2015","","60397 1 0",15,28,89.6,200,91.25,70,"N",1,"SL"
"724",742,"SL","2015","60398",1,"1",1,"4/24/2015","5/19/2015","","60398 1 1",8,37,59.4,193.75,58.75,40,"N",1,"SL"
"725",743,"WLA","2016","60410",2,"1",1,"5/26/2016","6/21/2016","","60410 2 1",8,100,84.4,200,152.5,140,"N",1,"WLA"
"726",744,"WLA","2016","60410",1,"0",1,"4/7/2016","4/27/2016","","60410 1 0",29,100,86.8,200,190,185,"N",1,"WLA"
"727",745,"WLA","2016","60414",1,"0",1,"5/4/2016","5/6/2016","","60414 1 0",32,98,83.2,200,107.5,90,"Y",1,"WLA"
"728",746,"WLA","2016","60487",1,"0",0,"5/20/2016","6/6/2016","","60487 1 0",15,100,85.4,200,137.5,125,"N",1,"WLA"
"729",747,"WLA","2016","60488",1,"0",1,"5/11/2016","5/27/2016","","60488 1 0",NA,NA,NA,NA,NA,NA,"N",1,"WLA"
"730",748,"WLA","2016","60489",1,"0",1,"4/16/2016","5/7/2016","","60489 1 0",0,100,49.8,175,170,137.5,"N",1,"WLA"
